id	feature_types	read1	read2	lane_number	subsample_rate
WPPm048hrs_rep1	Gene Expression	data/Sample_1/Sample_1-SCI7T003-SCI5T003_22FVLJLT4_S1_L001_R1_001.fastq.gz	data/Sample_1/Sample_1-SCI7T003-SCI5T003_22FVLJLT4_S1_L001_R2_001.fastq.gz	1	
WPPm048hrs_rep1	Gene Expression	data/Sample_1/Sample_1-SCI7T003-SCI5T003_22FYLKLT4_S24_L005_R1_001.fastq.gz	data/Sample_1/Sample_1-SCI7T003-SCI5T003_22FYLKLT4_S24_L005_R2_001.fastq.gz	2	
WPPm048hrs_rep1	Gene Expression	data/Sample_1/Sample_1-SCI7T003-SCI5T003_22G25CLT4_S1_L003_R1_001.fastq.gz	data/Sample_1/Sample_1-SCI7T003-SCI5T003_22G25CLT4_S1_L003_R2_001.fastq.gz	3	
WPPm024hrs_rep1	Gene Expression	data/Sample_2/Sample_2-SCI7T015-SCI5T015_22FVLJLT4_S2_L001_R1_001.fastq.gz	data/Sample_2/Sample_2-SCI7T015-SCI5T015_22FVLJLT4_S2_L001_R2_001.fastq.gz	1	
WPPp000hrs_rep1	Gene Expression	data/Sample_3/Sample_3-SCI7T027-SCI5T027_22FVLJLT4_S3_L001_R1_001.fastq.gz	data/Sample_3/Sample_3-SCI7T027-SCI5T027_22FVLJLT4_S3_L001_R2_001.fastq.gz	1	
WPPp024hrs_rep1	Gene Expression	data/Sample_4/Sample_4-SCI7T039-SCI5T039_22FVLJLT4_S4_L001_R1_001.fastq.gz	data/Sample_4/Sample_4-SCI7T039-SCI5T039_22FVLJLT4_S4_L001_R2_001.fastq.gz	1	
WPPp048hrs_rep1	Gene Expression	data/Sample_5/Sample_5-SCI7T051-SCI5T051_22FVLJLT4_S5_L001_R1_001.fastq.gz	data/Sample_5/Sample_5-SCI7T051-SCI5T051_22FVLJLT4_S5_L001_R2_001.fastq.gz	1	
WPPp048hrs_rep1	Gene Expression	data/Sample_5/Sample_5-SCI7T051-SCI5T051_22FYLKLT4_S25_L005_R1_001.fastq.gz	data/Sample_5/Sample_5-SCI7T051-SCI5T051_22FYLKLT4_S25_L005_R2_001.fastq.gz	2	
WPPp048hrs_rep1	Gene Expression	data/Sample_5/Sample_5-SCI7T051-SCI5T051_22G25CLT4_S2_L003_R1_001.fastq.gz	data/Sample_5/Sample_5-SCI7T051-SCI5T051_22G25CLT4_S2_L003_R2_001.fastq.gz	3	
WPPp072hrs_rep1	Gene Expression	data/Sample_6/Sample_6-SCI7T063-SCI5T063_22FVLJLT4_S6_L001_R1_001.fastq.gz	data/Sample_6/Sample_6-SCI7T063-SCI5T063_22FVLJLT4_S6_L001_R2_001.fastq.gz	1	
WPPp096hrs_rep1	Gene Expression	data/Sample_7/Sample_7-SCI7T075-SCI5T075_22FVLJLT4_S7_L001_R1_001.fastq.gz	data/Sample_7/Sample_7-SCI7T075-SCI5T075_22FVLJLT4_S7_L001_R2_001.fastq.gz	1	
WPPp120hrs_rep1	Gene Expression	data/Sample_8/Sample_8-SCI7T087-SCI5T087_22FVLJLT4_S8_L001_R1_001.fastq.gz	data/Sample_8/Sample_8-SCI7T087-SCI5T087_22FVLJLT4_S8_L001_R2_001.fastq.gz	1	
WPPm048hrs_rep2	Gene Expression	data/Sample_9/Sample_9-SCI7T004-SCI5T004_22FVLJLT4_S9_L001_R1_001.fastq.gz	data/Sample_9/Sample_9-SCI7T004-SCI5T004_22FVLJLT4_S9_L001_R2_001.fastq.gz	1	
WPPm024hrs_rep2	Gene Expression	data/Sample_10/Sample_10-SCI7T016-SCI5T016_22FVLJLT4_S10_L001_R1_001.fastq.gz	data/Sample_10/Sample_10-SCI7T016-SCI5T016_22FVLJLT4_S10_L001_R2_001.fastq.gz	1	
WPPm024hrs_rep2	Gene Expression	data/Sample_10/Sample_10-SCI7T016-SCI5T016_22FYLKLT4_S26_L005_R1_001.fastq.gz	data/Sample_10/Sample_10-SCI7T016-SCI5T016_22FYLKLT4_S26_L005_R2_001.fastq.gz	2	
WPPp000hrs_rep2	Gene Expression	data/Sample_11/Sample_11-SCI7T028-SCI5T028_22FVLJLT4_S11_L001_R1_001.fastq.gz	data/Sample_11/Sample_11-SCI7T028-SCI5T028_22FVLJLT4_S11_L001_R2_001.fastq.gz	1	
WPPp000hrs_rep2	Gene Expression	data/Sample_11/Sample_11-SCI7T028-SCI5T028_22FYLKLT4_S27_L005_R1_001.fastq.gz	data/Sample_11/Sample_11-SCI7T028-SCI5T028_22FYLKLT4_S27_L005_R2_001.fastq.gz	2	
WPPp000hrs_rep2	Gene Expression	data/Sample_11/Sample_11-SCI7T028-SCI5T028_22G25CLT4_S3_L003_R1_001.fastq.gz	data/Sample_11/Sample_11-SCI7T028-SCI5T028_22G25CLT4_S3_L003_R2_001.fastq.gz	3	
WPPp024hrs_rep2	Gene Expression	data/Sample_12/Sample_12-SCI7T040-SCI5T040_22FVLJLT4_S12_L001_R1_001.fastq.gz	data/Sample_12/Sample_12-SCI7T040-SCI5T040_22FVLJLT4_S12_L001_R2_001.fastq.gz	1	
WPPp024hrs_rep2	Gene Expression	data/Sample_12/Sample_12-SCI7T040-SCI5T040_22FYLKLT4_S28_L005_R1_001.fastq.gz	data/Sample_12/Sample_12-SCI7T040-SCI5T040_22FYLKLT4_S28_L005_R2_001.fastq.gz	2	
WPPp048hrs_rep2	Gene Expression	data/Sample_13/Sample_13-SCI7T052-SCI5T052_22FVLJLT4_S13_L001_R1_001.fastq.gz	data/Sample_13/Sample_13-SCI7T052-SCI5T052_22FVLJLT4_S13_L001_R2_001.fastq.gz	1	
WPPp048hrs_rep2	Gene Expression	data/Sample_13/Sample_13-SCI7T052-SCI5T052_22FYLKLT4_S29_L005_R1_001.fastq.gz	data/Sample_13/Sample_13-SCI7T052-SCI5T052_22FYLKLT4_S29_L005_R2_001.fastq.gz	2	
WPPp048hrs_rep2	Gene Expression	data/Sample_13/Sample_13-SCI7T052-SCI5T052_22G25CLT4_S4_L003_R1_001.fastq.gz	data/Sample_13/Sample_13-SCI7T052-SCI5T052_22G25CLT4_S4_L003_R2_001.fastq.gz	3	
WPPp072hrs_rep2	Gene Expression	data/Sample_14/Sample_14-SCI7T064-SCI5T064_22FVLJLT4_S14_L001_R1_001.fastq.gz	data/Sample_14/Sample_14-SCI7T064-SCI5T064_22FVLJLT4_S14_L001_R2_001.fastq.gz	1	
WPPp096hrs_rep2	Gene Expression	data/Sample_15/Sample_15-SCI7T076-SCI5T076_22FVLJLT4_S15_L001_R1_001.fastq.gz	data/Sample_15/Sample_15-SCI7T076-SCI5T076_22FVLJLT4_S15_L001_R2_001.fastq.gz	1	
WPPp096hrs_rep2	Gene Expression	data/Sample_15/Sample_15-SCI7T076-SCI5T076_22FYLKLT4_S30_L005_R1_001.fastq.gz	data/Sample_15/Sample_15-SCI7T076-SCI5T076_22FYLKLT4_S30_L005_R2_001.fastq.gz	2	
WPPp120hrs_rep2	Gene Expression	data/Sample_16/Sample_16-SCI7T088-SCI5T088_22FVLJLT4_S16_L001_R1_001.fastq.gz	data/Sample_16/Sample_16-SCI7T088-SCI5T088_22FVLJLT4_S16_L001_R2_001.fastq.gz	1	
WPPp120hrs_rep2	Gene Expression	data/Sample_16/Sample_16-SCI7T088-SCI5T088_22FYLKLT4_S33_L008_R1_001.fastq.gz	data/Sample_16/Sample_16-SCI7T088-SCI5T088_22FYLKLT4_S33_L008_R2_001.fastq.gz	2	
WPPp120hrs_rep2	Gene Expression	data/Sample_16/Sample_16-SCI7T088-SCI5T088_22G25CLT4_S5_L003_R1_001.fastq.gz	data/Sample_16/Sample_16-SCI7T088-SCI5T088_22G25CLT4_S5_L003_R2_001.fastq.gz	3	
