id	feature_types	read1	read2	lane_number	subsample_rate
S1	Gene Expression	data/S1/S1-SCI7T012-SCI5T012_22LCK7LT4_S64_L004_R1_001.fastq.gz	data/S1/S1-SCI7T012-SCI5T012_22LCK7LT4_S64_L004_R2_001.fastq.gz	1	
S1	Gene Expression	data/S1/S1-SCI7T012-SCI5T012_22LCK7LT4_S64_L005_R1_001.fastq.gz	data/S1/S1-SCI7T012-SCI5T012_22LCK7LT4_S64_L005_R2_001.fastq.gz	2	
S1	Gene Expression	data/S1/S1-SCI7T012-SCI5T012_22LCK7LT4_S64_L006_R1_001.fastq.gz	data/S1/S1-SCI7T012-SCI5T012_22LCK7LT4_S64_L006_R2_001.fastq.gz	3	
S1	Gene Expression	data/S1/S1-SCI7T012-SCI5T012_22LJMVLT4_S3_L007_R1_001.fastq.gz	data/S1/S1-SCI7T012-SCI5T012_22LJMVLT4_S3_L007_R2_001.fastq.gz	4	
S1	Gene Expression	data/S1/S1-SCI7T012-SCI5T012_22LJMVLT4_S3_L008_R1_001.fastq.gz	data/S1/S1-SCI7T012-SCI5T012_22LJMVLT4_S3_L008_R2_001.fastq.gz	5	
S1	Gene Expression	data/S1/S1-SCI7T012-SCI5T012_22LVGMLT4_S4_L007_R1_001.fastq.gz	data/S1/S1-SCI7T012-SCI5T012_22LVGMLT4_S4_L007_R2_001.fastq.gz	6	
S1	Gene Expression	data/S1/S1-SCI7T012-SCI5T012_22LVJ3LT4_S11_L008_R1_001.fastq.gz	data/S1/S1-SCI7T012-SCI5T012_22LVJ3LT4_S11_L008_R2_001.fastq.gz	7	
S1	Gene Expression	data/S1/S1-SCI7T012-SCI5T012_22M5WWLT4_S7_L003_R1_001.fastq.gz	data/S1/S1-SCI7T012-SCI5T012_22M5WWLT4_S7_L003_R2_001.fastq.gz	8	
S1	Gene Expression	data/S1/S1-SCI7T012-SCI5T012_22MGLTLT4_S1_L004_R1_001.fastq.gz	data/S1/S1-SCI7T012-SCI5T012_22MGLTLT4_S1_L004_R2_001.fastq.gz	9	
S2	Gene Expression	data/S2/S2-SCI7T024-SCI5T024_22LCK7LT4_S65_L004_R1_001.fastq.gz	data/S2/S2-SCI7T024-SCI5T024_22LCK7LT4_S65_L004_R2_001.fastq.gz	1	
S2	Gene Expression	data/S2/S2-SCI7T024-SCI5T024_22LCK7LT4_S65_L005_R1_001.fastq.gz	data/S2/S2-SCI7T024-SCI5T024_22LCK7LT4_S65_L005_R2_001.fastq.gz	2	
S2	Gene Expression	data/S2/S2-SCI7T024-SCI5T024_22LCK7LT4_S65_L006_R1_001.fastq.gz	data/S2/S2-SCI7T024-SCI5T024_22LCK7LT4_S65_L006_R2_001.fastq.gz	3	
S2	Gene Expression	data/S2/S2-SCI7T024-SCI5T024_22LJMVLT4_S4_L007_R1_001.fastq.gz	data/S2/S2-SCI7T024-SCI5T024_22LJMVLT4_S4_L007_R2_001.fastq.gz	4	
S2	Gene Expression	data/S2/S2-SCI7T024-SCI5T024_22LJMVLT4_S4_L008_R1_001.fastq.gz	data/S2/S2-SCI7T024-SCI5T024_22LJMVLT4_S4_L008_R2_001.fastq.gz	5	
S2	Gene Expression	data/S2/S2-SCI7T024-SCI5T024_22LVGMLT4_S5_L007_R1_001.fastq.gz	data/S2/S2-SCI7T024-SCI5T024_22LVGMLT4_S5_L007_R2_001.fastq.gz	6	
S2	Gene Expression	data/S2/S2-SCI7T024-SCI5T024_22LVJ3LT4_S12_L008_R1_001.fastq.gz	data/S2/S2-SCI7T024-SCI5T024_22LVJ3LT4_S12_L008_R2_001.fastq.gz	7	
S2	Gene Expression	data/S2/S2-SCI7T024-SCI5T024_22M5WWLT4_S8_L003_R1_001.fastq.gz	data/S2/S2-SCI7T024-SCI5T024_22M5WWLT4_S8_L003_R2_001.fastq.gz	8	
S2	Gene Expression	data/S2/S2-SCI7T024-SCI5T024_22MGLTLT4_S2_L004_R1_001.fastq.gz	data/S2/S2-SCI7T024-SCI5T024_22MGLTLT4_S2_L004_R2_001.fastq.gz	9	
S3	Gene Expression	data/S3/S3-SCI7T036-SCI5T036_22LCK7LT4_S66_L004_R1_001.fastq.gz	data/S3/S3-SCI7T036-SCI5T036_22LCK7LT4_S66_L004_R2_001.fastq.gz	1	
S3	Gene Expression	data/S3/S3-SCI7T036-SCI5T036_22LCK7LT4_S66_L005_R1_001.fastq.gz	data/S3/S3-SCI7T036-SCI5T036_22LCK7LT4_S66_L005_R2_001.fastq.gz	2	
S3	Gene Expression	data/S3/S3-SCI7T036-SCI5T036_22LCK7LT4_S66_L006_R1_001.fastq.gz	data/S3/S3-SCI7T036-SCI5T036_22LCK7LT4_S66_L006_R2_001.fastq.gz	3	
S3	Gene Expression	data/S3/S3-SCI7T036-SCI5T036_22LJMVLT4_S5_L007_R1_001.fastq.gz	data/S3/S3-SCI7T036-SCI5T036_22LJMVLT4_S5_L007_R2_001.fastq.gz	4	
S3	Gene Expression	data/S3/S3-SCI7T036-SCI5T036_22LJMVLT4_S5_L008_R1_001.fastq.gz	data/S3/S3-SCI7T036-SCI5T036_22LJMVLT4_S5_L008_R2_001.fastq.gz	5	
S3	Gene Expression	data/S3/S3-SCI7T036-SCI5T036_22LVGMLT4_S6_L007_R1_001.fastq.gz	data/S3/S3-SCI7T036-SCI5T036_22LVGMLT4_S6_L007_R2_001.fastq.gz	6	
S3	Gene Expression	data/S3/S3-SCI7T036-SCI5T036_22LVJ3LT4_S13_L008_R1_001.fastq.gz	data/S3/S3-SCI7T036-SCI5T036_22LVJ3LT4_S13_L008_R2_001.fastq.gz	7	
S3	Gene Expression	data/S3/S3-SCI7T036-SCI5T036_22M5WWLT4_S9_L003_R1_001.fastq.gz	data/S3/S3-SCI7T036-SCI5T036_22M5WWLT4_S9_L003_R2_001.fastq.gz	8	
S4	Gene Expression	data/S4/S4-SCI7T048-SCI5T048_22LCK7LT4_S67_L004_R1_001.fastq.gz	data/S4/S4-SCI7T048-SCI5T048_22LCK7LT4_S67_L004_R2_001.fastq.gz	1	
S4	Gene Expression	data/S4/S4-SCI7T048-SCI5T048_22LCK7LT4_S67_L005_R1_001.fastq.gz	data/S4/S4-SCI7T048-SCI5T048_22LCK7LT4_S67_L005_R2_001.fastq.gz	2	
S4	Gene Expression	data/S4/S4-SCI7T048-SCI5T048_22LCK7LT4_S67_L006_R1_001.fastq.gz	data/S4/S4-SCI7T048-SCI5T048_22LCK7LT4_S67_L006_R2_001.fastq.gz	3	
S4	Gene Expression	data/S4/S4-SCI7T048-SCI5T048_22LJMVLT4_S6_L007_R1_001.fastq.gz	data/S4/S4-SCI7T048-SCI5T048_22LJMVLT4_S6_L007_R2_001.fastq.gz	4	
S4	Gene Expression	data/S4/S4-SCI7T048-SCI5T048_22LJMVLT4_S6_L008_R1_001.fastq.gz	data/S4/S4-SCI7T048-SCI5T048_22LJMVLT4_S6_L008_R2_001.fastq.gz	5	
S4	Gene Expression	data/S4/S4-SCI7T048-SCI5T048_22LVGMLT4_S7_L007_R1_001.fastq.gz	data/S4/S4-SCI7T048-SCI5T048_22LVGMLT4_S7_L007_R2_001.fastq.gz	6	
S4	Gene Expression	data/S4/S4-SCI7T048-SCI5T048_22LVJ3LT4_S10_L007_R1_001.fastq.gz	data/S4/S4-SCI7T048-SCI5T048_22LVJ3LT4_S10_L007_R2_001.fastq.gz	7	
S4	Gene Expression	data/S4/S4-SCI7T048-SCI5T048_22M5WWLT4_S10_L003_R1_001.fastq.gz	data/S4/S4-SCI7T048-SCI5T048_22M5WWLT4_S10_L003_R2_001.fastq.gz	8	
S5	Gene Expression	data/S5/S5-SCI7T060-SCI5T060_22LCK7LT4_S68_L004_R1_001.fastq.gz	data/S5/S5-SCI7T060-SCI5T060_22LCK7LT4_S68_L004_R2_001.fastq.gz	1	
S5	Gene Expression	data/S5/S5-SCI7T060-SCI5T060_22LCK7LT4_S68_L005_R1_001.fastq.gz	data/S5/S5-SCI7T060-SCI5T060_22LCK7LT4_S68_L005_R2_001.fastq.gz	2	
S5	Gene Expression	data/S5/S5-SCI7T060-SCI5T060_22LCK7LT4_S68_L006_R1_001.fastq.gz	data/S5/S5-SCI7T060-SCI5T060_22LCK7LT4_S68_L006_R2_001.fastq.gz	3	
S5	Gene Expression	data/S5/S5-SCI7T060-SCI5T060_22LJMVLT4_S7_L007_R1_001.fastq.gz	data/S5/S5-SCI7T060-SCI5T060_22LJMVLT4_S7_L007_R2_001.fastq.gz	4	
S5	Gene Expression	data/S5/S5-SCI7T060-SCI5T060_22LJMVLT4_S7_L008_R1_001.fastq.gz	data/S5/S5-SCI7T060-SCI5T060_22LJMVLT4_S7_L008_R2_001.fastq.gz	5	
S5	Gene Expression	data/S5/S5-SCI7T060-SCI5T060_22LVGMLT4_S8_L007_R1_001.fastq.gz	data/S5/S5-SCI7T060-SCI5T060_22LVGMLT4_S8_L007_R2_001.fastq.gz	6	
S5	Gene Expression	data/S5/S5-SCI7T060-SCI5T060_22LVJ3LT4_S14_L008_R1_001.fastq.gz	data/S5/S5-SCI7T060-SCI5T060_22LVJ3LT4_S14_L008_R2_001.fastq.gz	7	
S5	Gene Expression	data/S5/S5-SCI7T060-SCI5T060_22M5WWLT4_S11_L003_R1_001.fastq.gz	data/S5/S5-SCI7T060-SCI5T060_22M5WWLT4_S11_L003_R2_001.fastq.gz	8	
S5	Gene Expression	data/S5/S5-SCI7T060-SCI5T060_22MGLTLT4_S3_L004_R1_001.fastq.gz	data/S5/S5-SCI7T060-SCI5T060_22MGLTLT4_S3_L004_R2_001.fastq.gz	9	
S6	Gene Expression	data/S6/S6-SCI7T072-SCI5T072_22LCK7LT4_S69_L004_R1_001.fastq.gz	data/S6/S6-SCI7T072-SCI5T072_22LCK7LT4_S69_L004_R2_001.fastq.gz	1	
S6	Gene Expression	data/S6/S6-SCI7T072-SCI5T072_22LCK7LT4_S69_L005_R1_001.fastq.gz	data/S6/S6-SCI7T072-SCI5T072_22LCK7LT4_S69_L005_R2_001.fastq.gz	2	
S6	Gene Expression	data/S6/S6-SCI7T072-SCI5T072_22LCK7LT4_S69_L006_R1_001.fastq.gz	data/S6/S6-SCI7T072-SCI5T072_22LCK7LT4_S69_L006_R2_001.fastq.gz	3	
S6	Gene Expression	data/S6/S6-SCI7T072-SCI5T072_22LVGMLT4_S9_L007_R1_001.fastq.gz	data/S6/S6-SCI7T072-SCI5T072_22LVGMLT4_S9_L007_R2_001.fastq.gz	4	
S6	Gene Expression	data/S6/S6-SCI7T072-SCI5T072_22LVJ3LT4_S1_L001_R1_001.fastq.gz	data/S6/S6-SCI7T072-SCI5T072_22LVJ3LT4_S1_L001_R2_001.fastq.gz	5	
S6	Gene Expression	data/S6/S6-SCI7T072-SCI5T072_22LVJ3LT4_S1_L002_R1_001.fastq.gz	data/S6/S6-SCI7T072-SCI5T072_22LVJ3LT4_S1_L002_R2_001.fastq.gz	6	
S6	Gene Expression	data/S6/S6-SCI7T072-SCI5T072_22M57HLT4_S7_L002_R1_001.fastq.gz	data/S6/S6-SCI7T072-SCI5T072_22M57HLT4_S7_L002_R2_001.fastq.gz	7	
S6	Gene Expression	data/S6/S6-SCI7T072-SCI5T072_22M5WWLT4_S15_L005_R1_001.fastq.gz	data/S6/S6-SCI7T072-SCI5T072_22M5WWLT4_S15_L005_R2_001.fastq.gz	8	
S6	Gene Expression	data/S6/S6-SCI7T072-SCI5T072_22MGLTLT4_S4_L004_R1_001.fastq.gz	data/S6/S6-SCI7T072-SCI5T072_22MGLTLT4_S4_L004_R2_001.fastq.gz	9	
S7	Gene Expression	data/S7/S7-SCI7T084-SCI5T084_22LCK7LT4_S70_L004_R1_001.fastq.gz	data/S7/S7-SCI7T084-SCI5T084_22LCK7LT4_S70_L004_R2_001.fastq.gz	1	
